Entry	Entry name	Gene names
B3LUP1	RRT5_YEAS1	RRT5 SCRG_05580
Q99190	TECR_YEAST	TSC13 YDL015C D2865
P35184	SQT1_YEAST	SQT1 YIR012W YIB12W
P28707	SBA1_YEAST	SBA1 YKL117W YKL518
P50089	YG51_YEAST	YGR237C G8581
P38269	YBX4_YEAST	YBR124W YBR0920B
P53169	YBP2_YEAST	YBP2 YBH1 YGL060W
Q03201	RT10_YEAST	RSM10 YDR041W YD6888.03
P33759	RT05_YEAST	MRPS5 YBR251W YBR1704
A6ZTT3	VEL1_YEAS7	VEL1 SCY_1816
P26370	UGA3_YEAST	UGA3 YDL170W
C8Z970	CBP4_YEAS8	CBP4 EC1118_1G1_4995g
O94143	BUD19_YEAST	BUD19 YJL188C
P53244	ART5_YEAST	ART5 YGR068C
A6ZMC3	AEP1_YEAS7	AEP1 NCA1 SCY_4235
P33304	AFR1_YEAST	AFR1 YDR085C D4471
P53951	COG5_YEAST	COG5 COD4 YNL051W N2476 YNL2476W
P18544	ARGD_YEAST	ARG8 YOL140W
P53934	CARME_YEAST	YNL092W N2227
P25649	AHC2_YEAST	AHC2 YCR082W YCR82W
P38287	CSH1_YEAST	CSH1 YBR161W YBR1212
P00546	CDK1_YEAST	CDC28 CDK1 HSL5 SRM5 YBR160W YBR1211
P07251	ATPA_YEAST	ATP1 YBL099W YBL0827
Q04368	CSI1_YEAST	CSI1 YMR025W YM9711.15
Q08054	CSI2_YEAST	CSI2 YOL007C
Q06338	BCP1_YEAST	BCP1 YDR361C
P29589	AHT1_YEAST	AHT1 YHR093W
Q12309	CLF1_YEAST	CLF1 NTC77 SYF3 YLR117C L2952
P15790	CSK21_YEAST	CKA1 YIL035C
P35190	CLG1_YEAST	CLG1 YGL215W G1105
P39986	ATC6_YEAST	SPF1 YEL031W
P21192	ACE2_YEAST	ACE2 YLR131C L3123 L9606.10
P15703	BGL2_YEAST	BGL2 SCW9 YGR282C
A6ZLF7	ATG12_YEAS7	ATG12 APG12 SCY_0427
Q04659	CSM3_YEAST	CSM3 YMR048W YM9796.01
P38856	AP18A_YEAST	YAP1801 YHR161C
Q06628	ATG13_YEAST	ATG13 APG13 YPR185W
A6ZL72	ATG14_YEAS7	ATG14 APG14 CVT12 SCY_0342
P38270	ATG14_YEAST	ATG14 APG14 CVT12 YBR128C YBR1003
Q03818	ATG16_YEAST	ATG16 APG15 APG16 CVT11 SAP18 YMR159C YM8520.08C
P36000	AP1B1_YEAST	APL2 YKL135C
P25641	ATG15_YEAST	ATG15 AUT5 CVT17 YCR068W YCR68W
Q12028	AP1G1_YEAST	APL4 YPR029C
B3LI73	CHO2_YEAS1	CHO2 SCRG_00863
P29029	CHIT_YEAST	CTS1 SCW2 YLR286C L8003.13
P35193	ATG19_YEAST	ATG19 CVT19 YOL082W O0980 YOL01
A6ZNC8	ATG19_YEAS7	ATG19 CVT19 SCY_4996
P32316	ACH1_YEAST	ACH1 YBL015W YBL03.18 YBL0304
B3LH96	CSN5_YEAS1	RRI1 SCRG_00706
