geneName,DEG_id,uniprot_id
SKI,DEG20110001,P12755
GNB1,DEG20110002,P62873
GABRD,DEG20110003,O14764
RER1,DEG20110004,O15258
PRDM16,DEG20110005,Q9HAZ2
TP73,DEG20110006,O15350
PANK4,DEG20110007,Q9NVE7
ICMT,DEG20110008,O60725
AJAP1,DEG20110009,Q9UKB5
CHD5,DEG20110010,Q8TDI0
PHF13,DEG20110011,Q86YI8
DNAJC11,DEG20110012,Q9NVH1
PIK3CD,DEG20110013,O00329
CAMTA1,DEG20110014,Q9Y6Y1
PARK7,DEG20110015,Q99497
RERE,DEG20110016,Q9P2R6
TARDBP,DEG20110017,Q13148
PGD,DEG20110018,P52209
CASZ1,DEG20110019,Q86V15
KIF1B,DEG20110020,O60333
UBE4B,DEG20110021,O95155
MFN2,DEG20110022,O95140
MTOR,DEG20110023,P42345
VPS13D,DEG20110024,Q5THJ4
PRDM2,DEG20110025,Q13029
SPEN,DEG20110026,Q96T58
ZBTB17,DEG20110027,Q13105
DDI2,DEG20110028,Q5TDH0
FBXO42,DEG20110029,Q6P3S6
UBR4,DEG20110030,Q5T4S7
EIF4G3,DEG20110031,O43432
ECE1,DEG20110032,P42892
HP1BP3,DEG20110033,Q5SSJ5
RAP1GAP,DEG20110034,P47736
EPHB2,DEG20110035,P29323
USP48,DEG20110036,Q86UV5
KDM1A,DEG20110037,O60341
HNRNPR,DEG20110038,O43390
TCEB3,DEG20110039,Q14241
LYPLA2,DEG20110040,O95372
E2F2,DEG20110041,Q14209
TMEM57,DEG20110042,Q8N5G2
GRHL3,DEG20110043,Q8TE85
SRRM1,DEG20110044,Q8IYB3
WDTC1,DEG20110045,Q8N5D0
ARID1A,DEG20110046,O14497
SLC9A1,DEG20110047,P19634
EYA3,DEG20110048,Q99504
PPP1R8,DEG20110049,Q12972
AHDC1,DEG20110050,Q5TGY3
WASF2,DEG20110051,Q9Y6W5
SRSF4,DEG20110052,Q08170
PUM1,DEG20110053,Q14671
PTPRU,DEG20110054,Q92729
GMEB1,DEG20110055,Q9Y692
YTHDF2,DEG20110056,Q9Y5A9
ADGRB2,DEG20110057,O60241
KPNA6,DEG20110058,O60684
TXLNA,DEG20110059,P40222
KHDRBS1,DEG20110060,Q07666
ZBTB8OS,DEG20110061,Q8IWT0
HDAC1,DEG20110062,Q13547
RBBP4,DEG20110063,Q09028
LCK,DEG20110064,P06239
S100PBP,DEG20110065,Q96BU1
SFPQ,DEG20110066,P23246
DLGAP3,DEG20110067,O95886
ZNF362,DEG20110068,Q5T0B9
ZMYM4,DEG20110069,Q5VZL5
AGO3,DEG20110070,Q9H9G7
AGO4,DEG20110071,Q9HCK5
MAP7D1,DEG20110072,Q3KQU3
CLSPN,DEG20110073,Q9HAW4
PSMB2,DEG20110074,P49721
AGO1,DEG20110075,Q9UL18
NCDN,DEG20110076,Q9UBB6
THRAP3,DEG20110077,Q9Y2W1
STK40,DEG20110078,Q8N2I9
ZC3H12A,DEG20110079,Q5D1E8
MTF1,DEG20110080,Q14872
SF3A3,DEG20110081,Q12874
SNIP1,DEG20110082,Q8TAD8
GRIK3,DEG20110083,Q13003
PPIE,DEG20110084,Q9UNP9
PABPC4,DEG20110085,Q13310
MACF1,DEG20110086,Q9UPN3
RLF,DEG20110087,Q13129
CTPS1,DEG20110088,P17812
KCNQ4,DEG20110089,P56696
MFSD2A,DEG20110090,Q8NA29
FOXJ3,DEG20110091,Q9UPW0
SLC2A1,DEG20110092,P11166
YBX1,DEG20110093,P67809
PTPRF,DEG20110094,P10586
ATP6V0B,DEG20110095,Q99437
KDM4A,DEG20110096,O75164
IPO13,DEG20110097,O94829
RNF220,DEG20110098,Q5VTB9
RPS8,DEG20110099,P62241
LRRC41,DEG20110100,Q15345
DMBX1,DEG20110101,Q8NFW5
FAF1,DEG20110102,Q9UNN5
ZFYVE9,DEG20110103,O95405
OSBPL9,DEG20110104,Q96SU4
ELAVL4,DEG20110105,P26378
ZCCHC11,DEG20110106,Q5TAX3
NDC1,DEG20110107,Q9BTX1
ZYG11B,DEG20110108,Q9C0D3
LRP8,DEG20110109,Q14114
PRPF38A,DEG20110110,Q8NAV1
SSBP3,DEG20110111,Q9BWW4
DHCR24,DEG20110112,Q15392
PLPP3,DEG20110113,O14495
DAB1,DEG20110114,O75553
USP24,DEG20110115,Q9UPU5
NFIA,DEG20110116,Q12857
ROR1,DEG20110117,Q01973
USP1,DEG20110118,O94782
JAK1,DEG20110119,P23458
SGIP1,DEG20110120,Q9BQI5
MIER1,DEG20110121,Q8N108
SERBP1,DEG20110122,Q8NC51
LEPR,DEG20110123,P48357
DNAJC6,DEG20110124,O75061
SRSF11,DEG20110125,Q05519
ZRANB2,DEG20110126,O95218
NEGR1,DEG20110127,Q7Z3B1
LRRC7,DEG20110128,Q96NW7
ANKRD13C,DEG20110129,Q8N6S4
FUBP1,DEG20110130,Q96AE4
ZZZ3,DEG20110131,Q8IYH5
USP33,DEG20110132,Q8TEY7
ADGRL2,DEG20110133,O95490
PKN2,DEG20110134,Q16513
ZNF326,DEG20110135,Q5BKZ1
ZNF644,DEG20110136,Q9H582
ABCD3,DEG20110137,P28288
ARHGAP29,DEG20110138,Q52LW3
RPL5,DEG20110139,P46777
BCAR3,DEG20110140,O75815
MTF2,DEG20110141,Q9Y483
FNBP1L,DEG20110142,Q5T0N5
MFSD14A,DEG20110143,Q96MC6
PLPPR4,DEG20110144,-
PLPPR5,DEG20110145,-
PTBP2,DEG20110146,Q9UKA9
PRPF38B,DEG20110147,Q5VTL8
COL11A1,DEG20110148,P12107
WDR47,DEG20110149,O94967
SORT1,DEG20110150,Q99523
PSMA5,DEG20110151,P28066
CELSR2,DEG20110152,Q9HCU4
SARS,DEG20110153,P49591
SLC6A17,DEG20110154,Q9H1V8
CSF1,DEG20110155,P09603
RBM15,DEG20110156,Q96T37
AHCYL1,DEG20110157,O43865
RAP1A,DEG20110158,P62834
CEPT1,DEG20110159,Q9Y6K0
HIPK1,DEG20110160,Q86Z02
CAPZA1,DEG20110161,P52907
MOV10,DEG20110162,Q9HCE1
SYCP1,DEG20110163,Q15431
NRAS,DEG20110164,P01111
TRIM33,DEG20110165,Q9UPN9
CSDE1,DEG20110166,O75534
ATP1A1,DEG20110167,P05023
IGSF3,DEG20110168,O75054
MAN1A2,DEG20110169,O60476
ANKRD34A,DEG20110170,Q69YU3
RBM8A,DEG20110171,Q9Y5S9
NOTCH2,DEG20110172,Q04721
PIAS3,DEG20110173,Q9Y6X2
FCGR1A,DEG20110174,P12314
SF3B4,DEG20110175,Q15427
ANP32E,DEG20110176,Q9BTT0
PRPF3,DEG20110177,O43395
PLEKHO1,DEG20110178,Q53GL0
RPRD2,DEG20110179,Q5VT52
MCL1,DEG20110180,Q07820
ARNT,DEG20110181,P27540
SETDB1,DEG20110182,Q15047
CERS2,DEG20110183,Q96G23
PI4KB,DEG20110184,Q9UBF8
SNX27,DEG20110185,Q96L92
POGZ,DEG20110186,Q7Z3K3
PSMD4,DEG20110187,P55036
ZNF687,DEG20110188,Q8N1G0
RORC,DEG20110189,P51449
CHTOP,DEG20110190,Q9Y3Y2
CRTC2,DEG20110191,Q53ET0
INTS3,DEG20110192,Q68E01
ILF2,DEG20110193,Q12905
GATAD2B,DEG20110194,Q8WXI9
DENND4B,DEG20110195,O75064
UBAP2L,DEG20110196,Q14157
ADAR,DEG20110197,P55265
UBE2Q1,DEG20110198,Q7Z7E8
ATP8B2,DEG20110199,P98198
PYGO2,DEG20110200,Q9BRQ0
TRIM46,DEG20110201,Q7Z4K8
ASH1L,DEG20110202,Q9NR48
GON4L,DEG20110203,Q3T8J9
KIAA0907,DEG20110204,Q7Z7F0
CLK2,DEG20110205,P49760
ARHGEF2,DEG20110206,Q92974
UBQLN4,DEG20110207,Q9NRR5
RUSC1,DEG20110208,Q9BVN2
LMNA,DEG20110209,P02545
MEF2D,DEG20110210,Q14814
CCT3,DEG20110211,P49368
SMG5,DEG20110212,Q9UPR3
ARHGEF11,DEG20110213,O15085
PRCC,DEG20110214,Q92733
KIRREL,DEG20110215,Q96J84
CADM3,DEG20110216,Q8N126
DCAF8,DEG20110217,Q5TAQ9
COPA,DEG20110218,P53621
NCSTN,DEG20110219,Q92542
VANGL2,DEG20110220,Q9ULK5
ARHGAP30,DEG20110221,Q7Z6I6
NDUFS2,DEG20110222,O75306
PBX1,DEG20110223,P40424
RXRG,DEG20110224,P48443
UAP1,DEG20110225,Q16222
LMX1A,DEG20110226,Q8TE12
DDR2,DEG20110227,Q16832
DCAF6,DEG20110228,Q58WW2
POGK,DEG20110229,Q9P215
UCK2,DEG20110230,Q9BZX2
POU2F1,DEG20110231,P14859
ATP1B1,DEG20110232,P05026
PRRC2C,DEG20110233,Q9Y520
VAMP4,DEG20110234,O75379
RFWD2,DEG20110235,Q8NHY2
RC3H1,DEG20110236,Q5TC82
CACYBP,DEG20110237,Q9HB71
SERPINC1,DEG20110238,P01008
ASTN1,DEG20110239,O14525
BRINP2,DEG20110240,Q9C0B6
TNR,DEG20110241,Q92752
TDRD5,DEG20110242,Q8NAT2
CEP350,DEG20110243,Q5VT06
RALGPS2,DEG20110244,Q86X27
GLUL,DEG20110245,P15104
CACNA1E,DEG20110246,Q15878
DHX9,DEG20110247,Q08211
NMNAT2,DEG20110248,Q9BZQ4
LAMC1,DEG20110249,P11047
XPR1,DEG20110250,Q9UBH6
SMG7,DEG20110251,Q92540
RNF2,DEG20110252,Q99496
IVNS1ABP,DEG20110253,Q9Y6Y0
TRMT1L,DEG20110254,Q7Z2T5
TPR,DEG20110255,P12270
RGL1,DEG20110256,Q9NZL6
CFH,DEG20110257,P08603
PTGS2,DEG20110258,P35354
CDC73,DEG20110259,Q6P1J9
KIF21B,DEG20110260,O75037
NR5A2,DEG20110261,O00482
CAMSAP2,DEG20110262,Q08AD1
ZNF281,DEG20110263,Q9Y2X9
LHX9,DEG20110264,Q9NQ69
PTPRC,DEG20110265,P08575
ELF3,DEG20110266,P78545
IPO9,DEG20110267,Q96P70
NAV1,DEG20110268,Q8NEY1
TMEM183A,DEG20110269,Q8IXX5
PIK3C2B,DEG20110270,O00750
ZC3H11A,DEG20110271,O75152
MDM4,DEG20110272,O15151
PLEKHA6,DEG20110273,Q9Y2H5
RBBP5,DEG20110274,Q15291
SOX13,DEG20110275,Q9UN79
NFASC,DEG20110276,O94856
NUCKS1,DEG20110277,Q9H1E3
MAPKAPK2,DEG20110278,P49137
SYT14,DEG20110279,Q8NB59
IRF6,DEG20110280,O14896
PLXNA2,DEG20110281,O75051
SLC30A1,DEG20110282,Q9Y6M5
PROX1,DEG20110283,Q92786
LPGAT1,DEG20110284,Q92604
PTPN14,DEG20110285,Q15678
TGFB2,DEG20110286,P61812
MARK1,DEG20110287,Q9P0L2
ESRRG,DEG20110288,P62508
KCTD3,DEG20110289,Q9Y597
RAB3GAP2,DEG20110290,Q9H2M9
SLC30A10,DEG20110291,Q6XR72
FBXO28,DEG20110292,Q9NVF7
WDR26,DEG20110293,Q9H7D7
ENAH,DEG20110294,Q8N8S7
LBR,DEG20110295,Q14739
ACBD3,DEG20110296,Q9H3P7
LIN9,DEG20110297,Q5TKA1
ITPKB,DEG20110298,P27987
CDC42BPA,DEG20110299,Q5VT25
TAF5L,DEG20110300,O75529
TSNAX,DEG20110301,Q99598
EGLN1,DEG20110302,Q9GZT9
EXOC8,DEG20110303,Q8IYI6
SPRTN,DEG20110304,Q9H040
SIPA1L2,DEG20110305,Q9P2F8
HEATR1,DEG20110306,Q9H583
RYR2,DEG20110307,Q92736
LYST,DEG20110308,Q99698
ARID4B,DEG20110309,Q4LE39
ACTN2,DEG20110310,P35609
CHRM3,DEG20110311,P20309
FMN2,DEG20110312,Q9NZ56
AKT3,DEG20110313,Q9Y243
ZBTB18,DEG20110314,Q99592
CNST,DEG20110315,Q6PJW8
DESI2,DEG20110316,Q9BSY9
KIF26B,DEG20110317,Q2KJY2
AHCTF1,DEG20110318,Q8WYP5
ZNF496,DEG20110319,Q96IT1
