Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Cross-reference (Pfam)
P47095	MTNB_YEAST	reviewed	Methylthioribulose-1-phosphate dehydratase (MTRu-1-P dehydratase) (EC 4.2.1.109)	MDE1 YJR024C J1545 YJR83.18	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	244	PF00596;
P25360	PHO87_YEAST	reviewed	Inorganic phosphate transporter PHO87	PHO87 YCR037C YCR37C YCR524	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	923	PF03600;PF03105;
P38744	PHS_YEAST	reviewed	Putative pterin-4-alpha-carbinolamine dehydratase (PHS) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase) (Pterin carbinolamine dehydratase) (PCD)	YHL018W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	120	PF01329;
P53942	RNH2A_YEAST	reviewed	Ribonuclease H2 subunit A (RNase H2 subunit A) (EC 3.1.26.4) (RNase H(201)) (RNase H(35)) (Ribonuclease HI large subunit) (RNase HI large subunit) (Ribonuclease HI subunit A)	RNH201 RNH35 YNL072W N2369	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	307	PF01351;
Q05635	RNH2B_YEAST	reviewed	Ribonuclease H2 subunit B (RNase H2 subunit B) (Rnh2B) (RNase H(202)) (Ribonuclease HI subunit B)	RNH202 YDR279W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	350	PF09468;PF17745;
P32496	RPN12_YEAST	reviewed	26S proteasome regulatory subunit RPN12 (Nuclear integrity protein 1)	RPN12 NIN1 YFR052W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	274	PF10075;
P17890	RPC7_YEAST	reviewed	DNA-directed RNA polymerase III subunit RPC7 (RNA polymerase III subunit C7) (DNA-directed RNA polymerase III 31 kDa polypeptide) (C31)	RPC31 ACP2 RPC8 YNL151C N1769	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	251	PF11705;
P25044	PTP1_YEAST	reviewed	Tyrosine-protein phosphatase 1 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1) (PTPase 1)	PTP1 YDL230W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	335	PF00102;
P50105	TAF4_YEAST	reviewed	Transcription initiation factor TFIID subunit 4 (MPT-1) (TAF suppressor gene 2 protein) (TAFII-48) (TBP-associated factor 4) (TBP-associated factor 48 kDa)	TAF4 MPT1 TAF48 TSG2 YMR005W YM8270.07	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	388	PF05236;
Q04083	THI74_YEAST	reviewed	Thiamine-repressible mitochondrial transport protein THI74	THI74 YDR438W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	370	
P40533	TED1_YEAST	reviewed	Protein TED1 (Trafficking of EMP24/ERV25-dependent cargo disrupted protein 1)	TED1 YIL039W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	473	PF00149;
P0C0W1	RS22A_YEAST	reviewed	40S ribosomal protein S22-A (RP50) (S24) (Small ribosomal subunit protein uS8-A) (YP58) (YS22)	RPS22A RPS24 RPS24A YJL190C J0355	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	130	PF00410;
Q07791	YD23B_YEAST	reviewed	Transposon Ty2-DR3 Gag-Pol polyprotein (TY2A-TY2B) (Transposon Ty2 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA); Ty2 protease (PR) (EC 3.4.23.-); Integrase (IN); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4)]	TY2B-DR3 YDRWTy2-3 POL YDR261W-B YD9320A.14	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1770	PF13976;PF00665;PF07727;PF01021;
Q96VG8	YC038_YEAST	reviewed	Putative uncharacterized protein YCR038W-A	YCR038W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	41	
Q03483	YD22A_YEAST	reviewed	Transposon Ty2-DR2 Gag polyprotein (TY2A) (TYA) (Transposon Ty2 protein A) [Cleaved into: Capsid protein (CA); Gag-p4]	TY2A-DR2 YDRWTy2-2 GAG YDR210W-A YD8142A.08	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	438	PF01021;
P38269	YBX4_YEAST	reviewed	Putative uncharacterized protein YBR124W	YBR124W YBR0920B	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	119	
